site_id (provided geohash), actual geohash, lat, lon
gcnkw5315nez, gcnkw52cjgw8, 51.434059, -2.19598
gcqfr2kmzxn5, gcqfr2mjkq54, 52.429065, -1.432156
gcpfu9s71tf6, gcpfu9kgeeyz, 51.115887, -0.147126
gcj2uvr2v9t2, gcj2vhbwntm6, 50.783987, -3.646488
gcqq0hyqc1zz, gcqq0hvw328d, 53.113106, -2.45333
gcjz093cqr93, gcjz08g7r07b, 51.860148, -3.137321
gcybfsyfg90k, gcybfhep2us2, 55.001574, -1.665764
gcwddst8qhvv, gcwddst8qhy1, 53.901741, -1.991693
gcpvmq336rj1, gcpvmq28t31v, 51.582276, -0.119935
gcvbjr1kgy4y, gcvbjr3epj5h, 54.884118, -2.930985
gcjvfb959f32, gcjvg1t5d7z0, 51.644603, -3.025254
gcpwkvcufqrw, gcpwkvcufw25, 51.756068, -0.491874
u10j6cvtj1gw, u10j6cvv0b58, 51.558323, 0.128783
u10j5hzbxhbp, u10j5httjepq, 51.529501, 0.139635
gcwym3dth2bz, gcwym3dmun5z, 54.545393, -1.523833
gcmygd6ygfex, gcmygdexsb3j, 53.232796, -3.005242
gcptkdtws8k9, gcptkebe2tv1, 51.56904, -0.504656
gcqvn72ktxdg, gcqvn72ktrx1, 52.928822, -1.482576
gcqvp9nnxzm6, gcqvp9nng42h, 52.916821, -1.419854
u10gy90fqzv5, u10gy2tc8gy2, 51.287204, 1.337283
gcx0qym0prxc, gcx0qym63h82, 53.516188, -1.102366
gcq7be78u09d, gcq7behzhsxb, 52.708135, -2.432238
gcnv27c5cyx1, gcnv27drbmpn, 51.568436, -1.743716
gft8n3nc62nz, gft8n3nc62pp, 59.068209, -3.231591
gcjsdpgtj7zd, gcjsdpujmkkr, 51.459513, -3.42201
gcpv63n1mk96, gcpv63n1mhgc, 51.553585, -0.244226
gcq6xcxxq7z0, gcqd80cqgvmw, 52.476011, -2.10749
gcjg5frwpvsc, gcjg5frwp6qe, 51.165746, -2.988648
gfjck56dbbpm, gfjck5qd8mrd, 56.488037, -2.979334
gfjcm3qcmvgy, gfjcm2vv9zw1, 56.474831, -2.92537
gfjc695ughgn, gfjc68dv2f6e, 56.473387, -3.050387
gfnmqtb2h86b, gfnmqtdqcj20, 57.204251, -2.17216
gcrr66xepg07, gcrr6df3j632, 53.320954, -0.941507
gcw2q069jsyn, gcw2q03x44bw, 53.484036, -2.195119
gcp1bq7dd7bm, gcp1bqht1zs3, 50.966475, -1.389003
gcqkrwtrybd2, gcqkrwv2hd4b, 52.81541, -2.123941
gcvy1r7gr66e, gcvy1rme3pvg, 55.938863, -3.101527
gfjxutmmuyg7, gfjxuv0hk6f9, 57.640515, -3.306699
gcr5bcsskn11, gcr5bcsskjcn, 52.699431, -1.366938
gcdt4k6t0278, gcdt4k99h8e9, 54.3413, -7.63324
